Python编程初学者指南   , 50.00
Python测试驱动开发（影印版）   , 68.40
Greedy Python [Board Book] (by Eric Carle) 《贪婪的蟒蛇》(卡板书) ISBN 9781416982906   , 35.10
Python实用教程  普通高等教育“十一五”*规划教材，清华大学卢开澄教授经典教材，发行近10万册，数百所高校用作教材。 , 25.90
零基础学Python（图文版）  学Python就上手，有趣的Python入门书，新浪研发工程师专业翻译！ , 58.70
Greedy Python [Board Book] (by Eric Carle) 《贪婪的蟒蛇》(卡板书) ISBN 9781416982906   , 35.10
跟老齐学Python：从入门到精通  Python领域经典开发指南，不可错过的编程实践宝典 , 54.50
Python与数据挖掘   , 39.20
Python实用教程  普通高等教育“十一五”*规划教材，清华大学卢开澄教授经典教材，发行近10万册，数百所高校用作教材。 , 25.90
零基础学Python（图文版）  学Python就上手，有趣的Python入门书，新浪研发工程师专业翻译！ , 58.70
高性能Python（影印版）   , 61.10
Greedy Python (Ready to Read, Level 1) (by Eric Carle) 《贪婪的蟒蛇》 ISBN 9781442445765  《好饿的毛毛虫》同一作者作品 , 17.80
Python程序设计教程  台湾大师林信良*作品  基于Python 3.5编写，涵盖Python 3.0到3.5的实用特性。 , 50.20
Python程序设计教程  Python程序设计教程 , 30.80
Python面向对象编程指南  掌握Python面向对象编程的精髓 构建强大的实际应用程序 , 66.20
Python程序设计教程  以项目为驱动的Python程序设计用书。 , 33.60
程序设计导论：Python语言实践（英文版）  普林斯顿大学程序设计课程入门教材，使用Python编程语言来讲解许多计算问题的解决技巧和方法。 , 110.50
易学Python   , 40.20
Python和HDF 5大数据应用  深入体验在Python语言中用HDF5存储科学数据 , 37.10
Python大战机器学习：数据科学家的第一个小目标  人生苦短，我用Python；算法偷懒，我看笔记学霸版 , 58.70
【预订】Python Scripting for Arcgis  美国库房发货，通常付款后5-8周到货！ , 551.00
Python数据分析（影印版）   , 57.40
Python二维游戏编程（张太红）   , 33.30
Python即学即用   , 42.50
Raspberry Pi机器人制作实例:用Python、Linux和传感器搭建智能小车  多种技术的机器人制作项目实例 手把手指导树莓派控制的机器人制作项目 小型智能机器人制作全攻略同译者翻译 , 39.60
（样）Ready to Read 1 The World of Eric Carle The Greedy Python  ISBN:9781442445765 , 23.00
【预订】Python 3 and C or C++  美国库房发货，通常付款后3-5周到货！ , 173.00
Rapid GUI Programming with Python and Qt (Prentice Hall Open Source Software Development) [ISBN: 978-0132354189]  美国发货无法退货，约五到八周到货 , 578.00
Effective Python：编写高质量Python代码的59个有效方法 英文版   , 54.40
