000425.SZ,徐工机械,0.2100,0.1900,0.2200,0.2100,,-0.2400,0.0100,0.0500,0.2000,2.0100,3.2200,1.6400,1.2000,0.7300,0.2000,0.0070
000426.SZ,兴业矿业,0.3430,0.2860,0.2900,0.2000,0.0700,0.0900,0.0500,0.0200,-0.3500,0.2100,-0.1300,0.4904,0.2960,0.1441,0.2711,-0.0208
000428.SZ,华天酒店,0.2300,0.2900,0.2060,0.1500,0.1765,0.0600,0.2500,0.4670,0.3690,0.2600,0.2500,0.1600,0.1400,0.1700,-0.1400,0.0200
000429.SZ,粤高速A,,,0.1200,0.1400,,0.2600,0.2636,0.3900,0.3200,0.2600,0.3100,0.1700,0.1400,0.1000,0.2500,0.3700
000430.SZ,张家界,-0.5570,0.0900,,,0.0104,-0.3622,-0.6500,0.0300,-0.1200,-0.1900,0.2555,0.2794,0.3154,0.1627,0.1900,0.3600
000488.SZ,晨鸣纸业,0.5943,0.2847,0.7632,0.6997,0.5611,0.4451,0.2600,0.6000,0.5700,0.4100,0.5600,0.2900,0.1100,0.3500,0.2600,0.5000
000498.SZ,山东路桥,0.0180,-0.2260,-0.2500,0.1280,0.1190,-0.4600,-0.9400,-1.8600,0.0200,0.6200,0.0014,0.0011,0.3234,0.2332,0.2784,0.3370
000501.SZ,鄂武商A,0.0600,-0.1900,0.0100,0.0040,-0.1400,0.0200,0.0900,0.3100,0.3600,0.4700,0.5800,0.6500,0.7900,0.9200,1.3000,1.5800
000502.SZ,绿景控股,,-0.3124,0.0164,,0.1620,0.0337,0.0622,0.0239,0.3064,0.1759,-0.2675,0.1400,-0.0600,0.0400,0.0200,-0.1300
000503.SZ,海虹控股,0.2426,0.2707,0.2743,0.2370,0.4781,0.0565,-0.0049,0.0049,0.0072,0.0106,0.0162,0.0200,0.0268,0.0144,0.0278,0.0257
000506.SZ,中润资源,,0.1071,0.0720,0.0097,-0.1510,-0.4650,-1.6504,0.2815,0.2582,0.3069,0.3656,0.2883,0.4111,0.2084,-0.2331,0.0234
000507.SZ,珠海港,0.1470,0.0780,0.0550,0.0690,0.0900,0.0700,0.3849,0.4084,0.2510,0.2862,0.6036,0.8464,0.2500,0.1210,0.0217,0.0996
000509.SZ,华塑控股,0.1398,0.0880,-1.0255,0.0435,,-0.6699,0.0800,0.0500,-0.5700,-0.1741,0.0406,-0.4515,-0.3438,0.0840,-0.0617,0.0198
000510.SZ,金路集团,0.2800,0.2000,0.2140,0.1732,0.2006,0.1317,0.1166,0.1324,-0.1029,0.0093,0.1336,-0.1902,0.0263,-0.2852,-0.2418,0.0231
000513.SZ,丽珠集团,,0.1600,0.2000,0.3000,0.4100,0.3500,0.5000,1.6600,0.1700,1.6100,1.4100,1.2200,1.4900,1.6500,1.7400,1.6200
000514.SZ,渝开发,0.0040,-0.8800,0.0740,0.1484,0.2560,0.0087,0.0078,0.3059,0.2035,0.2449,0.1936,0.2297,0.0770,0.1499,0.1450,0.0087
000516.SZ,国际医学,0.2650,0.2420,0.2790,0.3200,0.2300,0.2900,0.3000,0.5300,0.4000,0.2500,0.2100,0.1800,0.1600,0.1700,0.4900,0.3200
000517.SZ,荣安地产,,0.5500,0.2700,,,-1.0500,0.0300,0.1100,-0.2929,0.8252,0.2323,0.3814,0.3998,0.4283,0.2828,0.0324
000518.SZ,四环生物,,0.5560,0.1660,0.0670,0.0110,-0.1000,0.0100,-0.1718,-0.1359,0.0227,0.0074,-0.0058,0.0098,-0.0687,0.0058,-0.0723
000519.SZ,江南红箭,0.2000,0.1150,0.0564,0.0549,-0.1200,0.1600,0.1700,0.0500,-0.1400,0.0200,0.0600,-0.0579,0.0298,0.6200,0.5400,0.2406
000520.SZ,长航凤凰,0.1281,0.0868,0.0966,0.1052,0.1348,0.0683,0.1331,0.5485,0.1096,-0.6100,0.0164,-1.3085,-2.7859,-6.6910,4.2559,0.1211
000521.SZ,美菱电器,0.0130,-0.8500,0.0196,-0.4700,0.0400,0.0160,0.0208,0.0427,0.0621,0.7282,0.7878,0.1675,0.2517,0.3589,0.3856,0.0347
000523.SZ,广州浪奇,0.0100,0.0200,-0.5000,0.0100,0.0100,0.0570,0.0500,0.0600,0.0310,0.0550,0.0870,0.0560,0.0520,0.0720,0.0990,0.0700
000524.SZ,岭南控股,0.0760,-0.3600,0.0320,-0.3400,0.1270,0.1340,0.0900,0.1000,0.0200,-0.1900,0.0250,0.0800,0.1100,0.1300,0.1300,0.1500
000525.SZ,红太阳,0.2600,0.2369,0.1600,0.1667,0.1721,0.1200,0.1045,0.0674,0.0391,0.0120,-0.0420,0.2040,0.5720,0.7330,0.8420,0.3590
000526.SZ,紫光学大,0.1730,0.1930,0.0860,0.0065,-0.0507,0.0629,0.0152,0.0301,-0.1232,0.0108,0.0731,0.0463,0.0382,-0.0694,0.0204,-0.1410
000528.SZ,柳工,0.0040,0.0655,0.3770,0.6830,0.5361,0.4400,0.7600,1.2000,0.7200,1.4100,2.3700,1.1700,0.2500,0.2979,0.1764,0.0189
000529.SZ,广弘控股,0.0200,-0.8100,-2.1400,-0.6400,-0.7000,-0.7800,0.0145,0.0123,0.8500,0.1000,0.1000,0.1200,0.1100,0.1400,0.2600,0.1300
000530.SZ,大冷股份,0.2230,0.2500,0.2500,0.2450,0.2900,0.2900,0.3600,0.3700,0.3600,0.2200,0.2900,0.2300,0.3300,0.4400,0.3300,0.3600
000531.SZ,穗恒运A,0.2200,0.2420,0.2840,0.5180,0.5700,0.4600,0.5300,0.0400,-0.2000,0.9475,0.5076,0.2225,0.8569,1.0157,0.9421,0.6570
000532.SZ,力合股份,-0.7100,0.1100,0.1400,,-0.0400,0.0800,0.1187,0.1393,-0.0894,0.1177,0.0692,0.0798,0.1233,0.1532,0.0916,0.1097
000533.SZ,万家乐,0.0400,-1.6998,-0.1751,0.3410,0.0060,-0.2546,0.0338,0.2242,0.1141,0.3358,0.1882,0.1017,0.1071,0.2600,0.1800,0.1800
000534.SZ,万泽股份,0.0717,0.0373,0.4000,0.0900,0.0086,0.0102,0.0400,0.5652,0.0754,0.0565,0.0500,0.0500,0.2700,0.3100,0.1000,0.0900
000536.SZ,华映科技,-0.3700,0.0900,-0.2700,-0.2365,0.1092,,0.1200,0.1600,0.0500,0.0563,0.5091,0.4950,0.3941,0.5464,0.3205,0.1950
000537.SZ,广宇发展,0.6300,0.1650,-0.1000,-0.9300,0.1000,0.0510,-0.1100,0.0910,-0.0760,0.1600,0.2100,0.5500,0.5500,0.7000,0.5500,0.2800
